year,month,day,hour,minute,second,latitude,longitude,Davistemp,Davishumidity,BlackGlobetemp,speed,direction
2015,10,18,0,0,7,0,0,17.41,35,nan,0.00,0.00
2015,10,18,0,0,13,0,0,17.49,36,15.88,0.00,0.00
2015,10,18,0,0,19,0,0,17.53,35,15.94,0.00,0.00
2015,10,18,0,0,25,0,0,17.52,34,15.94,0.00,0.00
2015,10,18,0,0,31,0,0,17.54,34,15.94,0.00,0.00
2015,10,18,0,0,37,0,0,17.54,34,15.94,0.00,0.00
2015,10,18,0,0,43,0,0,17.54,34,15.94,0.00,0.00
2015,10,18,0,0,49,0,0,17.52,34,15.94,0.00,0.00
2015,10,18,0,0,55,0,0,17.50,34,15.94,0.00,0.00
2015,10,18,0,1,1,0,0,17.46,33,15.94,0.00,0.00
2015,10,18,0,1,7,0,0,17.45,33,15.94,0.00,0.00
2015,10,18,0,1,13,0,0,17.42,33,15.94,0.00,0.00
2015,10,18,0,1,19,0,0,17.42,34,15.88,0.00,0.00
2015,10,18,0,1,25,0,0,17.42,34,15.88,0.00,0.00
2015,10,18,0,1,31,0,0,17.42,34,15.81,0.00,0.00
2015,10,18,0,1,37,0,0,17.41,34,15.81,0.00,0.00
2015,10,18,0,1,43,0,0,17.40,34,15.81,0.00,0.00
2015,10,18,0,1,49,0,0,17.40,34,15.75,0.00,0.00
2015,10,18,0,1,55,0,0,17.40,34,15.75,0.00,0.00
2015,10,18,0,2,1,0,0,17.41,34,15.75,0.00,0.00
2015,10,18,0,2,7,0,0,17.40,34,15.75,0.00,0.00
2015,10,18,0,2,13,0,0,17.40,34,15.75,0.00,0.00
2015,10,18,0,2,19,0,0,17.39,34,15.75,0.00,0.00
2015,10,18,0,2,25,0,0,17.37,34,15.75,0.00,0.00
2015,10,18,0,2,31,0,0,17.38,34,15.75,0.00,0.00
2015,10,18,0,2,37,0,0,17.35,34,15.75,0.00,0.00
2015,10,18,0,2,43,0,0,17.35,34,15.75,0.00,0.00
2015,10,18,0,2,49,0,0,17.31,34,15.75,0.00,0.00
2015,10,18,0,2,55,0,0,17.27,34,15.69,0.00,0.00
2015,10,18,0,3,1,0,0,17.26,34,15.69,0.00,0.00
2015,10,18,0,3,7,0,0,17.26,34,15.69,0.00,0.00
2015,10,18,0,3,13,0,0,17.26,34,15.69,0.00,0.00
2015,10,18,0,3,19,0,0,17.25,34,15.69,0.00,0.00
2015,10,18,0,3,25,0,0,17.24,34,15.69,0.00,0.00
2015,10,18,0,3,31,0,0,17.25,34,15.69,0.00,0.00
2015,10,18,0,3,37,0,0,17.25,34,15.69,0.00,0.00
2015,10,18,0,3,43,0,0,17.26,35,15.69,0.00,0.00
2015,10,18,0,3,49,0,0,17.26,35,15.69,0.00,0.00
2015,10,18,0,3,55,0,0,17.26,35,15.69,0.00,0.00
2015,10,18,0,4,1,0,0,17.26,35,15.69,0.00,0.00
2015,10,18,0,4,7,0,0,17.26,35,15.69,0.00,0.00
2015,10,18,0,4,13,0,0,17.26,35,15.69,0.00,0.00
2015,10,18,0,4,19,0,0,17.27,35,15.69,0.00,0.00
2015,10,18,0,4,25,0,0,17.25,35,15.69,0.00,0.00
2015,10,18,0,4,31,0,0,17.24,35,15.69,0.00,0.00
2015,10,18,0,4,37,0,0,17.24,35,15.69,0.00,0.00
2015,10,18,0,4,43,0,0,17.25,35,15.69,0.00,0.00
2015,10,18,0,4,49,0,0,17.24,35,15.69,0.00,0.00
2015,10,18,0,4,55,0,0,17.24,35,15.69,0.00,0.00
2015,10,18,0,5,1,0,0,17.25,35,15.69,0.00,0.00
2015,10,18,0,5,7,0,0,17.25,35,15.69,0.00,0.00
2015,10,18,0,5,13,0,0,17.26,35,15.69,0.00,0.00
2015,10,18,0,5,19,0,0,17.27,35,15.69,0.00,0.00
2015,10,18,0,5,25,0,0,17.27,35,15.69,0.00,0.00
2015,10,18,0,5,31,0,0,17.27,35,15.69,0.00,0.00
2015,10,18,0,5,37,0,0,17.26,35,15.69,0.00,0.00
2015,10,18,0,5,43,0,0,17.23,35,15.63,0.00,0.00
2015,10,18,0,5,49,0,0,17.23,35,15.69,0.00,0.00
2015,10,18,0,5,55,0,0,17.24,35,15.69,0.00,0.00
2015,10,18,0,6,1,0,0,17.23,35,15.69,0.00,0.00
2015,10,18,0,6,7,0,0,17.24,35,15.69,0.00,0.00
2015,10,18,0,6,13,0,0,17.24,35,15.69,0.00,0.00
