year,month,day,hour,minute,second,latitude,longitude,Davistemp,Davishumidity,BlackGlobetemp,speed,direction
2015,10,18,0,0,7,0,0,17.94,32,15.88,0.00,0.00
2015,10,18,0,0,13,0,0,18.00,32,15.88,0.00,0.00
2015,10,18,0,0,19,0,0,18.05,32,15.94,0.00,0.00
2015,10,18,0,0,25,0,0,18.07,33,16.00,0.00,0.00
2015,10,18,0,0,31,0,0,18.08,32,15.94,0.00,0.00
2015,10,18,0,0,37,0,0,18.09,33,15.94,0.00,0.00
2015,10,18,0,0,43,0,0,18.09,33,15.94,0.00,0.00
2015,10,18,0,0,49,0,0,18.09,32,15.88,0.00,0.00
2015,10,18,0,0,55,0,0,18.08,32,16.00,0.00,0.00
2015,10,18,0,1,1,0,0,18.07,32,15.94,0.00,0.00
2015,10,18,0,1,7,0,0,18.08,32,15.88,0.00,0.00
2015,10,18,0,1,13,0,0,18.08,32,15.88,0.00,0.00
2015,10,18,0,1,19,0,0,18.06,32,15.88,0.00,0.00
2015,10,18,0,1,25,0,0,18.05,32,15.88,0.00,0.00
2015,10,18,0,1,31,0,0,18.04,32,15.81,0.00,0.00
2015,10,18,0,1,37,0,0,18.03,32,15.88,0.00,0.00
2015,10,18,0,1,43,0,0,18.02,32,15.81,0.00,0.00
2015,10,18,0,1,49,0,0,18.01,32,15.69,0.00,0.00
2015,10,18,0,1,55,0,0,18.01,32,15.63,0.00,0.00
2015,10,18,0,2,1,0,0,18.00,32,15.63,0.00,0.00
2015,10,18,0,2,7,0,0,17.99,32,15.63,0.00,0.00
2015,10,18,0,2,13,0,0,17.99,32,15.63,0.00,0.00
2015,10,18,0,2,19,0,0,17.98,32,15.69,0.00,0.00
2015,10,18,0,2,25,0,0,17.97,32,15.69,0.00,0.00
2015,10,18,0,2,31,0,0,17.97,32,15.69,0.00,0.00
2015,10,18,0,2,37,0,0,17.97,32,15.69,0.00,0.00
2015,10,18,0,2,43,0,0,17.96,32,15.69,0.00,0.00
2015,10,18,0,2,49,0,0,17.96,32,15.75,0.00,0.00
2015,10,18,0,2,55,0,0,17.94,32,15.75,0.00,0.00
2015,10,18,0,3,1,0,0,17.93,32,15.69,0.00,0.00
2015,10,18,0,3,7,0,0,17.93,32,15.56,0.00,0.00
2015,10,18,0,3,13,0,0,17.93,32,15.63,0.00,0.00
2015,10,18,0,3,19,0,0,17.92,32,15.63,0.00,0.00
